,Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country
0,39.0,7,13.0,4,1,0,4,1,2174.0,0.0,40.0,39
1,50.0,6,13.0,2,4,4,4,1,0.0,0.0,13.0,39
2,38.0,4,9.0,0,6,0,4,1,0.0,0.0,40.0,39
3,53.0,4,7.0,2,6,4,2,1,0.0,0.0,40.0,39
4,28.0,4,13.0,2,10,5,2,0,0.0,0.0,40.0,5
5,37.0,4,14.0,2,4,5,4,0,0.0,0.0,40.0,39
6,49.0,4,5.0,3,8,0,2,0,0.0,0.0,16.0,23
7,52.0,6,9.0,2,4,4,4,1,0.0,0.0,45.0,39
8,31.0,4,14.0,4,10,0,4,0,14084.0,0.0,50.0,39
9,42.0,4,13.0,2,4,4,4,1,5178.0,0.0,40.0,39
10,37.0,4,10.0,2,4,4,2,1,0.0,0.0,80.0,39
11,30.0,7,13.0,2,10,4,1,1,0.0,0.0,40.0,19
12,23.0,4,13.0,4,1,3,4,0,0.0,0.0,30.0,39
13,32.0,4,12.0,4,12,0,2,1,0.0,0.0,50.0,39
14,40.0,4,11.0,2,3,4,1,1,0.0,0.0,40.0,0
15,34.0,4,4.0,2,14,4,0,1,0.0,0.0,45.0,26
16,25.0,6,9.0,4,5,3,4,1,0.0,0.0,35.0,39
17,32.0,4,9.0,4,7,1,4,1,0.0,0.0,40.0,39
18,38.0,4,7.0,2,12,4,4,1,0.0,0.0,50.0,39
19,43.0,6,14.0,0,4,1,4,0,0.0,0.0,45.0,39
20,40.0,4,16.0,2,10,4,4,1,0.0,0.0,60.0,39
21,54.0,4,9.0,5,8,1,2,0,0.0,0.0,20.0,39
22,35.0,1,5.0,2,5,4,2,1,0.0,0.0,40.0,39
23,43.0,4,7.0,2,14,4,4,1,0.0,2042.0,40.0,39
24,59.0,4,9.0,0,13,1,4,0,0.0,0.0,40.0,39
25,56.0,2,13.0,2,13,4,4,1,0.0,0.0,40.0,39
26,19.0,4,9.0,4,3,3,4,1,0.0,0.0,40.0,39
27,54.0,0,10.0,2,0,4,1,1,0.0,0.0,60.0,35
28,39.0,4,9.0,0,4,0,4,1,0.0,0.0,80.0,39
29,49.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
30,23.0,2,12.0,4,11,0,4,1,0.0,0.0,52.0,39
31,20.0,4,10.0,4,12,3,2,1,0.0,0.0,44.0,39
32,45.0,4,13.0,0,4,3,4,1,0.0,1408.0,40.0,39
33,30.0,1,10.0,2,1,3,4,1,0.0,0.0,40.0,39
34,22.0,7,10.0,2,8,4,2,1,0.0,0.0,15.0,39
35,48.0,4,7.0,4,7,1,4,1,0.0,0.0,40.0,33
36,21.0,4,10.0,4,7,3,4,1,0.0,0.0,40.0,39
37,19.0,4,9.0,1,1,5,4,0,0.0,0.0,25.0,39
38,31.0,4,10.0,2,12,4,4,1,0.0,0.0,38.0,0
39,48.0,6,12.0,2,10,4,4,1,0.0,0.0,40.0,39
40,31.0,4,5.0,2,7,4,4,1,0.0,0.0,43.0,39
41,53.0,6,13.0,2,10,4,4,1,0.0,0.0,40.0,39
42,24.0,4,13.0,2,13,4,4,1,0.0,0.0,50.0,39
43,49.0,4,9.0,5,1,1,4,0,0.0,0.0,40.0,39
44,25.0,4,9.0,4,6,0,4,1,0.0,0.0,35.0,39
45,57.0,1,13.0,2,10,4,2,1,0.0,0.0,40.0,39
46,53.0,4,9.0,2,7,4,4,1,0.0,0.0,38.0,39
47,44.0,4,14.0,0,4,1,4,0,0.0,0.0,40.0,39
48,41.0,7,11.0,2,3,4,4,1,0.0,0.0,40.0,39
49,29.0,4,11.0,4,10,0,4,1,0.0,0.0,43.0,39
50,25.0,4,10.0,2,4,5,3,0,0.0,0.0,40.0,39
51,18.0,4,9.0,4,8,3,4,0,0.0,0.0,30.0,0
52,47.0,4,15.0,2,10,5,4,0,0.0,1902.0,60.0,16
53,50.0,1,13.0,0,4,0,4,1,0.0,0.0,55.0,39
54,47.0,5,9.0,0,4,0,4,1,0.0,0.0,60.0,39
55,43.0,4,10.0,2,13,4,4,1,0.0,0.0,40.0,39
56,46.0,4,3.0,2,7,4,4,1,0.0,0.0,40.0,26
57,35.0,4,11.0,2,8,4,4,1,0.0,0.0,40.0,33
58,41.0,4,9.0,2,1,4,4,1,0.0,0.0,48.0,39
59,30.0,4,9.0,2,7,4,4,1,5013.0,0.0,40.0,39
60,30.0,4,13.0,2,12,4,4,1,2407.0,0.0,40.0,39
61,32.0,0,4.0,3,0,0,4,1,0.0,0.0,40.0,0
62,48.0,4,9.0,2,14,4,4,1,0.0,0.0,40.0,39
63,42.0,4,16.0,2,10,4,4,1,0.0,0.0,45.0,39
64,29.0,4,10.0,0,13,0,4,1,0.0,0.0,58.0,39
65,36.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
66,28.0,4,10.0,0,1,0,4,0,0.0,0.0,40.0,39
67,53.0,4,9.0,2,1,5,4,0,0.0,0.0,40.0,39
68,49.0,5,10.0,2,4,4,4,1,0.0,0.0,50.0,39
69,25.0,0,10.0,4,0,3,4,1,0.0,0.0,40.0,39
70,19.0,4,10.0,4,10,3,4,1,0.0,0.0,32.0,39
71,31.0,4,13.0,5,12,3,2,0,0.0,0.0,40.0,39
72,29.0,6,13.0,2,12,4,4,1,0.0,0.0,70.0,39
73,23.0,4,10.0,4,7,0,4,1,0.0,0.0,40.0,39
74,79.0,4,10.0,2,10,2,4,1,0.0,0.0,20.0,39
75,27.0,4,9.0,4,8,3,4,1,0.0,0.0,40.0,26
76,40.0,4,12.0,2,1,4,4,1,0.0,0.0,40.0,39
77,67.0,0,6.0,2,0,4,4,1,0.0,0.0,2.0,39
78,18.0,4,7.0,4,8,3,4,0,0.0,0.0,22.0,39
79,31.0,2,4.0,2,5,4,4,1,0.0,0.0,40.0,39
80,18.0,4,9.0,4,12,0,4,1,0.0,0.0,30.0,39
81,52.0,4,13.0,2,8,4,4,1,0.0,0.0,40.0,5
82,46.0,4,9.0,2,8,5,4,0,0.0,0.0,40.0,39
83,59.0,4,9.0,2,12,4,4,1,0.0,0.0,48.0,39
84,44.0,4,9.0,0,3,0,4,0,14344.0,0.0,40.0,39
85,53.0,4,9.0,0,12,3,4,0,0.0,0.0,35.0,39
86,49.0,2,9.0,2,11,4,4,1,0.0,0.0,40.0,39
87,33.0,4,14.0,2,10,4,4,1,0.0,0.0,50.0,39
88,30.0,4,5.0,4,12,0,4,1,0.0,0.0,40.0,39
89,43.0,1,16.0,4,10,0,4,0,0.0,0.0,50.0,39
90,57.0,4,11.0,2,10,4,4,1,0.0,0.0,40.0,39
91,37.0,4,10.0,0,3,1,4,0,0.0,0.0,40.0,39
92,28.0,4,10.0,0,7,1,2,0,0.0,0.0,25.0,39
93,30.0,4,9.0,2,12,5,1,0,0.0,1573.0,35.0,0
94,34.0,2,13.0,2,11,4,4,1,0.0,0.0,40.0,39
95,29.0,2,10.0,4,6,0,4,1,0.0,0.0,50.0,39
96,48.0,6,16.0,2,10,4,4,1,0.0,1902.0,60.0,39
97,37.0,4,10.0,2,12,4,4,1,0.0,0.0,48.0,39
98,48.0,4,12.0,0,4,1,4,0,0.0,0.0,40.0,9
99,32.0,1,9.0,4,8,3,2,1,0.0,0.0,40.0,39
100,76.0,4,14.0,2,4,4,4,1,0.0,0.0,40.0,39
101,44.0,4,13.0,2,4,4,4,1,15024.0,0.0,60.0,39
102,47.0,6,14.0,4,10,0,4,0,0.0,0.0,50.0,39
103,20.0,4,10.0,4,13,3,4,0,0.0,0.0,40.0,39
104,29.0,4,9.0,4,3,0,4,1,0.0,0.0,40.0,39
105,32.0,5,9.0,2,3,4,4,1,7688.0,0.0,40.0,39
106,17.0,0,6.0,4,0,3,4,0,34095.0,0.0,32.0,39
107,30.0,4,7.0,4,6,3,4,1,0.0,0.0,40.0,39
108,31.0,2,9.0,4,1,0,4,0,0.0,0.0,40.0,39
