Income>50K,a,Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country
0,16465.0,39.0,6.0,7.0,2.0,14.0,4.0,4.0,1.0,0.0,0.0,40.0,39.0
1,5625.0,54.0,6.0,13.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,40.0,39.0
1,30273.0,32.0,4.0,9.0,2.0,12.0,4.0,4.0,1.0,0.0,1902.0,50.0,39.0
0,3136.0,45.0,6.0,10.0,4.0,5.0,0.0,4.0,1.0,0.0,0.0,50.0,39.0
0,4521.0,60.0,4.0,6.0,2.0,6.0,4.0,2.0,1.0,0.0,0.0,40.0,39.0
0,17457.0,34.0,7.0,10.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,38.0,39.0
1,21029.0,45.0,4.0,13.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,40.0,39.0
1,31775.0,61.0,0.0,16.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,25.0,39.0
0,14744.0,50.0,4.0,14.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,35.0,39.0
0,5571.0,27.0,4.0,10.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,40.0,39.0
0,2000.0,35.0,4.0,9.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,35.0,39.0
0,24213.0,24.0,7.0,10.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,40.0,0.0
0,15800.0,38.0,4.0,9.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,40.0,39.0
0,11558.0,32.0,4.0,7.0,4.0,9.0,1.0,2.0,0.0,0.0,0.0,40.0,39.0
0,7227.0,53.0,4.0,9.0,6.0,7.0,0.0,2.0,0.0,0.0,0.0,40.0,39.0
1,30259.0,39.0,1.0,9.0,2.0,1.0,4.0,2.0,1.0,7688.0,0.0,52.0,39.0
0,5790.0,35.0,4.0,9.0,2.0,7.0,4.0,4.0,1.0,0.0,0.0,40.0,39.0
0,2815.0,50.0,4.0,3.0,2.0,14.0,4.0,4.0,1.0,0.0,0.0,37.0,26.0
0,17300.0,41.0,7.0,12.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,36.0,39.0
0,25551.0,58.0,4.0,12.0,2.0,3.0,4.0,4.0,1.0,0.0,1740.0,40.0,39.0
0,24157.0,34.0,4.0,10.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,60.0,39.0
0,15626.0,59.0,4.0,15.0,4.0,10.0,0.0,4.0,1.0,0.0,0.0,50.0,39.0
0,14032.0,48.0,4.0,9.0,6.0,7.0,1.0,4.0,0.0,0.0,0.0,36.0,39.0
1,2348.0,62.0,6.0,8.0,2.0,3.0,4.0,4.0,1.0,0.0,0.0,40.0,39.0
0,15789.0,38.0,4.0,13.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,40.0,6.0
0,30256.0,22.0,4.0,13.0,4.0,12.0,0.0,4.0,1.0,0.0,0.0,45.0,39.0
0,25916.0,30.0,4.0,3.0,2.0,7.0,4.0,4.0,1.0,3464.0,0.0,40.0,26.0
0,5913.0,18.0,4.0,7.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,16.0,39.0
0,17854.0,36.0,6.0,13.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,50.0,20.0
0,7210.0,63.0,4.0,9.0,2.0,1.0,4.0,1.0,1.0,2105.0,0.0,40.0,40.0
0,8295.0,35.0,4.0,10.0,4.0,14.0,3.0,4.0,1.0,0.0,0.0,45.0,39.0
0,27981.0,21.0,4.0,11.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,40.0,39.0
0,21737.0,21.0,2.0,10.0,4.0,8.0,0.0,4.0,0.0,0.0,2001.0,40.0,39.0
0,15171.0,57.0,4.0,3.0,5.0,7.0,0.0,4.0,0.0,0.0,0.0,40.0,39.0
0,2773.0,31.0,4.0,9.0,4.0,8.0,0.0,2.0,1.0,0.0,0.0,40.0,39.0
0,20403.0,37.0,4.0,13.0,2.0,10.0,4.0,4.0,1.0,0.0,0.0,40.0,39.0
0,20336.0,24.0,4.0,13.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,40.0,39.0
1,15768.0,48.0,4.0,13.0,3.0,10.0,2.0,1.0,0.0,0.0,0.0,36.0,30.0
